Place,Region,Confirmed,Deaths,Recovered,Last Update
Mainland China,Mainland China,"80,651","3,070","55,392",3/7/20 1:00
Hubei,Mainland China,"67,666","2,959","43,468",3/7/20 1:00
South Korea,South Korea,"6,767",44,135,3/7/20 1:00
Iran,Iran,"4,747",124,913,3/6/20 11:00
Italy,Italy,"4,636",197,523,3/6/20 18:00
Guangdong,Mainland China,"1,352",7,"1,233",3/7/20 1:00
Henan,Mainland China,"1,272",22,"1,243",3/7/20 1:00
Zhejiang,Mainland China,"1,215",1,"1,149",3/7/20 1:00
Hunan,Mainland China,"1,018",4,959,3/7/20 1:00
Anhui,Mainland China,990,6,979,3/7/20 1:00
Jiangxi,Mainland China,935,1,916,3/7/20 1:00
Shandong,Mainland China,758,6,625,3/7/20 1:00
Germany,Germany,708,0,16,2020-03-07 01:00:00 * Source: github.com/iceweasel1/COVID-19-Germany
Others,Japan (Diamond Princess),706,6,10,3/3/20 3:00
France,France,653,9,12,3/7/20 1:00
Jiangsu,Mainland China,631,0,601,3/7/20 1:00
Chongqing,Mainland China,576,6,520,3/7/20 1:00
Sichuan,Mainland China,539,3,448,3/7/20 1:00
Heilongjiang,Mainland China,481,13,402,3/7/20 1:00
Beijing,Mainland China,426,8,303,3/7/20 1:00
Japan,Japan,416,6,69,3/6/20 20:00
Spain,Spain,400,5,2,3/6/20 20:00
Shanghai,Mainland China,342,3,306,3/7/20 1:00
USA,USA,321,17,6,3/7/20 3:00
Hebei,Mainland China,318,6,305,3/7/20 1:00
Fujian,Mainland China,296,1,284,3/7/20 1:00
Guangxi,Mainland China,252,2,219,3/7/20 1:00
Shaanxi,Mainland China,245,1,226,3/7/20 1:00
Switzerland,Switzerland,214,1,3,3/6/20 14:00
Yunnan,Mainland China,174,2,170,3/7/20 1:00
Hainan,Mainland China,168,6,158,3/7/20 1:00
United Kingdom,United Kingdom,163,2,8,3/6/20 16:30
Guizhou,Mainland China,146,2,115,3/7/20 1:00
Tianjin,Mainland China,136,3,128,3/7/20 1:00
Shanxi,Mainland China,133,0,126,3/7/20 1:00
Singapore,Singapore,130,0,82,3/5/20 15:00
Netherlands,Netherlands,128,1,1,3/6/20 14:00
Liaoning,Mainland China,125,1,106,3/7/20 1:00
Gansu,Mainland China,119,2,87,3/7/20 1:00
