"Place","Region","Confirmed","Deaths","Recovered","Last Update"
"Mainland China","Mainland China","80,735","3,118","58,543","2020-03-09 01:00:00"
"Hubei","Mainland China","67,743","3,007","46,433","2020-03-09 01:00:00"
"South Korea","South Korea","7,382","51","166","2020-03-09 02:00:00"
"Italy","Italy","7,375","366","622","2020-03-08 18:30:00"
"Iran","Iran","6,566","194","2,134","2020-03-08 13:00:00"
"Guangdong","Mainland China","1,352","7","1,250","2020-03-09 01:00:00"
"Henan","Mainland China","1,272","22","1,247","2020-03-09 01:00:00"
"Zhejiang","Mainland China","1,215","1","1,169","2020-03-09 01:00:00"
"France","France","1,209","19","12","2020-03-09 01:00:00"
"Germany","Germany","1,065","0","16","2020-03-08 21:00:00 * Source: github.com/iceweasel1/COVID-19-Germany"
"Hunan","Mainland China","1,018","4","965","2020-03-09 01:00:00"
"Anhui","Mainland China","990","6","984","2020-03-09 01:00:00"
"Jiangxi","Mainland China","935","1","918","2020-03-09 01:00:00"
"Shandong","Mainland China","758","6","647","2020-03-09 01:00:00"
"Others","Japan (Diamond Princess)","706","6","10","2020-03-03 03:00:00"
"Spain","Spain","673","17","30","2020-03-08 22:00:00"
"Jiangsu","Mainland China","631","0","610","2020-03-09 01:00:00"
"Chongqing","Mainland China","576","6","527","2020-03-09 01:00:00"
"USA","USA","568","22","8","2020-03-09 02:00:00"
"Sichuan","Mainland China","539","3","465","2020-03-09 01:00:00"
"Japan","Japan","502","7","80","2020-03-08 16:30:00"
"Heilongjiang","Mainland China","481","13","421","2020-03-09 01:00:00"
"Beijing","Mainland China","428","8","308","2020-03-08 02:00:00"
"Shanghai","Mainland China","342","3","314","2020-03-09 01:00:00"
"Switzerland","Switzerland","337","2","3","2020-03-08 20:00:00"
"Hebei","Mainland China","318","6","307","2020-03-09 01:00:00"
"Fujian","Mainland China","296","1","295","2020-03-09 01:00:00"
"United Kingdom","United Kingdom","278","3","18","2020-03-09 02:00:00"
"Netherlands","Netherlands","265","3","1","2020-03-08 14:00:00"
"Guangxi","Mainland China","252","2","230","2020-03-09 01:00:00"
"Shaanxi","Mainland China","245","1","227","2020-03-09 01:00:00"
"Sweden","Sweden","203","0","0","2020-03-08 14:00:00"
"Belgium","Belgium","200","0","1","2020-03-07 20:30:00"
"Yunnan","Mainland China","174","2","170","2020-03-09 01:00:00"
"Hainan","Mainland China","168","6","159","2020-03-09 01:00:00"
"Norway","Norway","167","0","0","2020-03-08 20:30:00"
"Singapore","Singapore","150","0","82","2020-03-08 14:00:00"
"Guizhou","Mainland China","146","2","123","2020-03-09 01:00:00"
"Tianjin","Mainland China","136","3","129","2020-03-09 01:00:00"
"Washington","USA","136","19","1","2020-03-08 22:00:00 * CTY: Snohomish 31; King 83; Grant 1; Jefferson 1; Pierce 4; Clark 1; Unassigned 14"
"Shanxi","Mainland China","133","0","126","2020-03-09 01:00:00"
"Liaoning","Mainland China","125","1","109","2020-03-09 01:00:00"
"Gansu","Mainland China","124","2","87","2020-03-08 17:00:00"
"Hong Kong","Hong Kong","114","3","59","2020-03-08 14:00:00"
"New York","USA","105","0","0","2020-03-08 23:30:00 * CTY: NYC 12; Westchester 84; Nassau 5; Rockland 2; Saratoga 2; Ulster 1"
"Austria","Austria","104","0","0","2020-03-08 13:00:00"
"Malaysia","Malaysia","99","0","24","2020-03-08 18:30:00"
"California","USA","99","1","2","2020-03-08 23:30:00 * CTY: Santa Clara 38; Los Angeles 14; San Diego 3; Orange 4; Placer 5; San Benito 2; San Mateo 2; San Francisco 9; Sacramento 2; Contra Costa 9; Humboldt 1; Berkeley 1; Sonoma 1; Yolo 1; Alameda 1; Madera 1; Santa Cruz 1; Gilroy 1; Freson 1; Riverside 1; Ventura 1"
"Jilin","Mainland China","93","1","90","2020-03-09 01:00:00"
"Bahrain","Bahrain","85","0","4","2020-03-07 18:30:00"
"Xinjiang Uygur","Mainland China","76","3","73","2020-03-09 01:00:00"
"Australia","Australia","76","4","21","2020-03-08 13:00:00"
"Nei Mongol","Mainland China","75","1","70","2020-03-09 01:00:00"
"Ningxia","Mainland China","75","0","71","2020-03-09 01:00:00"
"Greece","Greece","73","0","0","2020-03-08 20:00:00"
"Canada","Canada","66","0","8","2020-03-08 20:30:00"
"Kuwait","Kuwait","64","0","1","2020-03-08 18:30:00"
"Iraq","Iraq","60","6","0","2020-03-08 22:00:00"
