Place,Region,Confirmed,Deaths,Recovered,Active,Last Update
USA,USA,"86,043","1,304",713,"84,026",3/27/20 3:00
Mainland China,Mainland China,"81,298","3,287","74,106","3,905",3/26/20 10:00
Italy,Italy,"80,589","8,215","10,361","62,013",3/26/20 22:00
Hubei,Mainland China,"67,801","3,169","61,201","3,431",3/26/20 2:00
Spain,Spain,"57,786","4,365","7,015","46,406",3/27/20 1:00
Germany,Germany,"43,938",267,"5,673","37,998",2020-03-27 01:00:00 * States (not updated after 41192) Baden-Württemberg 8128; Bavaria 8596; Berlin 1645; Brandenburg 555; Bremen 213; Hamburg 1450; Hesse 2032; Mecklenburg-Vorpommern 246; Lower Saxony 2614; North Rhine-Westphalia 10452; Rhineland-Palatinate 1969; Saarland 466; Saxony 1224; Saxony-Anhalt 466; Schleswig-Holstein 632; Thuringia 504; Source: @iceweasel
New York,USA,"39,140",461,0,"38,679",2020-03-27 03:00:00 * CTY: New York 23112; Westchester 5944; Nassau 3914; Suffolk 2735; Rockland 1197; Orange 751; Erie 221; Dutchess 190; Albany 171; Monroe 148; Onondaga 111; Putnam 94; Ulster 78; Saratoga 73; Schenectady 62; Sullivan 53; Rensselaer 44; Tompkins 32; Columbia 24; Broome 16; Niagara 14; Oneida 13; Ontario 11; Steuben 11; Clinton 11; Madison 9; Wayne 8; Chemung 7; Wyoming 7; Delaware 7; Herkimer 7; Greene 5; Montgomery 5; Essex 5; St. Lawrence 4; Genesee 4; Washington 4; Jefferson 4; Oswego 4; Chenango 3; Otsego 3; Livingston 3; Cortland 3; Cayuga 2; Hamilton 2; Warren 2; Allegany 2; Chautauqua 2; Orleans 2; Tioga 2; Schoharie 2; Fulton 1; Franklin 1
Iran,Iran,"29,406","2,234","10,457","16,715",3/26/20 14:00
France,France,"29,155","1,696","4,948","22,511",3/26/20 22:00
Switzerland,Switzerland,"11,811",191,131,"11,489",3/26/20 22:00
United Kingdom,United Kingdom,"11,658",578,135,"10,945",3/26/20 22:00
South Korea,South Korea,"9,241",131,"4,144","4,966",3/26/20 16:00
Netherlands,Netherlands,"7,459",435,6,"7,018",3/26/20 16:00
Austria,Austria,"6,909",49,112,"6,748",3/27/20 1:00
New Jersey,USA,"6,876",81,0,"6,795",2020-03-27 03:00:00 * CTY: unknown 1478; Bergen 1206; Essex 609; Middlesex 505; Monmouth 501; Hudson 441; Union 432; Passaic 399; Ocean 389; Morris 315; Somerset 179; Mercer 111; Camden 73; Burlington 64; Sussex 49; Hunterdon 39; Gloucester 33; Warren 31; Atlantic 10; Cape May 6; Cumberland 4; Salem 2
Belgium,Belgium,"6,235",220,675,"5,340",3/26/20 16:00
Canada,Canada,"4,043",39,228,"3,776",2020-03-27 01:00:00 * Completed Tests: 152771; Tests in Progress 14312; Provinces: Ontario 858; British Columbia 725; Alberta 486; Quebec 1629; Manitoba 36; Saskatchewan 95; Nova Scotia 73; New Brunswick 33; PEI 9; Newfoundland 82; Yukon 3; Northwest Territories 1; Repatriated CDN 13
California,USA,"4,040",82,0,"3,958",2020-03-27 03:00:00 * CTY: Los Angeles 1230; Santa Clara 542; San Diego 337; Orange 256; San Francisco 223; San Mateo 195; Alameda 178; Contra Costa 131; Sacramento 113; Riverside 105; San Joaquin 83; Marin 65; Ventura 61; San Luis Obispo 54; San Bernardino 54; Sonoma 44; Solano 34; Kern 33; Santa Barbara 32; Santa Cruz 32; Placer 30; Fresno 27; Monterey 24; Tulare 20; Stanislaus 17; Imperial 17; Humboldt 12; San Benito 12; Yolo 11; Madera 10; El Dorado 9; Nevada 8; Napa 6; Mono 6; Butte 5; Merced 4; Siskiyou 3; Shasta 3; Yuba 3; Calaveras 3; Inyo 2; Amador 2; Sutter 2; Mendocino 2
Turkey,Turkey,"3,629",75,26,"3,528",3/26/20 22:00
Portugal,Portugal,"3,544",60,43,"3,441",3/26/20 16:00
Norway,Norway,"3,369",14,6,"3,349",3/27/20 1:00
Washington,USA,"3,207",150,0,"3,057",2020-03-27 03:00:00 * CTY: King 1577; Snohomish 778; Pierce 186; Whatcom 86; Skagit 78; unknown 69; Spokane 67; Island 64; Yakima 61; Clark 48; Kitsap 33; Grant 33; Thurston 24; Benton 19; Jefferson 11; Chelan 10; Kittitas 8; Franklin 7; Klickitat 7; Cowlitz 7; Lewis 5; Douglas 5; Clallam 5; Whitman 3; Adams 3; Mason 2; Stevens 2; San Juan 2; Walla Walla 2; Columbia 1; Lincoln 1; Ferry 1; Okanogan 1; Grays Harbor 1
Brazil,Brazil,"2,985",77,6,"2,902",2020-03-27 01:00:00 * States (not updated after 2433) States Acre 23 Amazonas 54 Amapá 1 Pará 7 Rondônia 5 Roraima 8 Tocantins 7 Alagoas 11 Bahia 84 Ceara 200 Maranhão 8 Paraíba 3 Pernambuco 46 Piauí 8 Rio Grande do Norte 14 Sergipe 16 Espírito Santo 39 Minas Gerais 133 Rio de Janeiro 370 São Paulo 862 Distrito Federal 160 Goiás 29 Mato Grosso do Sul 24 Mato Grosso 8 Paraná 81 Santa Catarina 109 Rio Grande do Sul 123 Source: @HeidyBello
Michigan,USA,"2,857",61,0,"2,796",2020-03-27 03:00:00 * CTY: Wayne 1389; Oakland 668; Macomb 347; Washtenaw 92; Genesee 63; Kent 41; Ingham 22; Monroe 21; Livingston 21; Ottawa 18; Jackson 17; St. Clair 13; Other 13; Berrien 11; Kalamazoo 10; Saginaw 10; Calhoun 7; Clinton 7; Otsego 7; Out of State 7; Midland 6; Hillsdale 5; Lenawee 5; Bay 4; Charlevoix 4; Eaton 4; Muskegon 3; Lapeer 3; Isabella 3; Montcalm 3; Grand Traverse 3; Emmet 2; Van Buren 2; Tuscola 2; Kalkaska 2; Ionia 2; Gladwin 2; Manistee 1; Oceana 1; Iosco 1; Ogemaw 1; Newaygo 1; Mecosta 1; Clare 1; Allegan 1; Sanilac 1; Cass 1; Marquette 1; Missaukee 1; Barry 1; Leelanau 1; Roscommon 1; Chippewa 1; Shiawassee 1; Wexford 1
Sweden,Sweden,"2,840",71,16,"2,753",3/26/20 17:00
Australia,Australia,"2,810",13,172,"2,625",3/26/20 16:00
Israel,Israel,"2,693",8,68,"2,617",3/26/20 22:00
Illinois,USA,"2,542",26,0,"2,516",2020-03-27 03:00:00 * CTY: Cook 1904; Lake 185; DuPage 182; Will 67; Kane 57; McHenry 27; Kankakee 15; St. Clair 13; Champaign 10; McLean 8; Winnebago 8; Sangamon 7; Kendall 7; Madison 6; Clinton 5; Peoria 5; Rock Island 4; LaSalle 3; DeKalb 3; Woodford 3; Monroe 3; Tazewell 2; Stephenson 2; Grundy 2; Franklin 1; Logan 1; Douglas 1; Washington 1; Williamson 1; Adams 1; Marshall 1; Morgan 1; Livingston 1; Cumberland 1; Whiteside 1; Christian 1; Jackson 1; Jo Daviess 1
Florida,USA,"2,484",29,0,"2,455",2020-03-27 03:00:00 * CTY: Miami-Dade 654; Broward 505; Palm Beach 174; Hillsborough 151; Orange 119; Duval 82; Collier 67; Lee 66; Pinellas 65; Alachua 53; Osceola 45; Seminole 40; St. Johns 36; Volusia 34; Sarasota 34; Lake 26; Manatee 25; Sumter 24; Okaloosa 22; Pasco 21; Polk 20; Clay 20; Escambia 20; Brevard 14; Indian River 14; Monroe 14; Walton 13; Leon 13; Putnam 12; Santa Rosa 12; Citrus 11; Martin 11; St. Lucie 11; Hernando 9; Flagler 8; Desoto 5; Nassau 5; Baker 5; Highlands 5; Marion 5; Charlotte 4; Bay 3; Columbia 3; Jackson 1; Bradford 1; Washington 1; Gadsden 1
Massachusetts,USA,"2,417",25,0,"2,392",2020-03-27 03:00:00 * CTY: Middlesex 538; Suffolk 448; Norfolk 292; unknown 267; Essex 247; Worcester 166; Plymouth 138; Bristol 90; Berkshire 73; Barnstable 67; Hampden 55; Hampshire 17; Franklin 16; Dukes and Nantucket 3
Louisiana,USA,"2,305",83,0,"2,222",2020-03-27 03:00:00 * CTY: Orleans 997; Jefferson 458; Caddo 115; East Baton Rouge 105; Ascension 91; St. Tammany 89; St. John the Baptist 38; Bossier 32; Lafayette 30; St. James 29; Lafourche 28; St. Bernard 28; Rapides 25; St. Charles 22; Terrebonne 21; Ouachita 19; Iberville 17; Calcasieu 15; unknown 13; Plaquemines 13; Livingston 11; De Soto 11; Webster 8; West Baton Rouge 8; Avoyelles 7; Tangipahoa 7; Washington 6; Allen 5; St. Mary 5; Assumption 5; St. Landry 5; East Feliciana 4; Acadia 3; Beauregard 3; Morehouse 3; Lincoln 3; Iberia 3; Vernon 2; Evangeline 2; St. Martin 2; Union 2; Natchitoches 2; Claiborne 2; Madison 1; Richland 1; Grant 1; Jackson 1; Winn 1; Vermilion 1; Bienville 1; Jefferson Davis 1; La Salle 1; Catahoula 1; Pointe Coupee 1
Malaysia,Malaysia,"2,031",23,215,"1,793",3/26/20 16:00
Denmark,Denmark,"1,997",41,50,"1,906",3/26/20 16:00
Czech Republic,Czech Republic,"1,925",9,10,"1,906",3/26/20 22:00
Ireland,Ireland,"1,819",19,5,"1,795",3/26/20 22:00
